drug_id,drug_name,brand_name,drug_category,unit_cost,manufacturer_id,dosage_form,prescription_required,storage_condition,expiry_months,route_of_administration,therapeutic_class,drug_schedule,strength,unit_of_measure,generic_or_brand,controlled_substance,high_alert_medication,drug_status,created_by,updated_by,created_date,updated_date
136,Asperiores,"Chokshi, Pradhan and Bhattacharyya",Antipyretic,246,111,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
137,Optio,Kibe-Iyer,Antibiotic,272,172,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
138,Assumenda,Tak-Mitter,Antihypertensive,383,243,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
139,Nesciunt,Thaman PLC,Antibiotic,323,259,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
140,Dicta,Chakrabarti Group,Steroid,104,31,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
141,Maiores,Kakar-Som,Antipyretic,199,188,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
142,Assumenda,Mann Ltd,Antidiabetic,199,3,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
143,Facere,"Chanda, Bansal and Kuruvilla",Antihypertensive,18,269,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
144,Temporibus,"Cherian, Dass and Murty",Antacid,136,5,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
145,Itaque,"Sarkar, Sami and Cheema",Steroid,10,18,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
146,Adipisci,"Raghavan, Chauhan and Gera",Vitamin,366,277,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
147,Temporibus,"Dubey, Raja and Behl",Antidiabetic,253,174,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
148,Atque,Krish-Varughese,Vitamin,389,198,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
149,Tenetur,"Nori, Krishnamurthy and Vala",Antihypertensive,424,168,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
150,Repellat,"Patel, Bajwa and Kala",Antihypertensive,259,209,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
151,Vero,Sibal-Loke,Analgesic,140,176,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
152,Corrupti,"Purohit, Tandon and Soni",Antibiotic,355,49,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
153,Beatae,Prabhakar Group,Steroid,328,119,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
154,Quaerat,Tailor PLC,Antihypertensive,340,201,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
155,Vero,"Ramakrishnan, Sekhon and Bhasin",Vitamin,290,238,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
156,Vitae,"Rattan, Rege and Magar",Antidiabetic,78,14,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
157,Quibusdam,Deshmukh-Wason,Vitamin,334,78,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
158,Eaque,"Sangha, Arora and Kunda",Antihypertensive,234,300,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
159,Nostrum,Narain-Chopra,Antibiotic,442,98,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
160,Delectus,"Deshpande, Handa and Nath",Steroid,307,87,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
161,Magni,Lal Ltd,Vitamin,327,97,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
162,Ipsam,Behl Inc,Antacid,369,241,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
163,Sint,"Shanker, Virk and Rajagopal",Analgesic,182,62,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
164,Corrupti,Buch LLC,Antacid,105,34,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
165,Nisi,"Lall, Sarraf and Chokshi",Antacid,167,215,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
166,Excepturi,"Karpe, Rattan and Sur",Steroid,195,256,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
167,Quod,Sarna-Mand,Antipyretic,382,188,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
168,Corporis,Kohli PLC,Antibiotic,170,153,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
169,Officiis,Ganesan-Kumar,Analgesic,24,135,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
170,Iusto,"Issac, Kumer and Garg",Antipyretic,287,285,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
171,Eligendi,"Natt, Sen and Dhar",Antacid,197,34,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
172,Aspernatur,Chadha Inc,Antacid,163,154,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
173,Quas,"Sanghvi, Dhingra and Chahal",Antidiabetic,415,263,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
174,In,Edwin-Ratti,Vitamin,368,194,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
175,Ipsam,Rajan Ltd,Steroid,317,260,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
176,Voluptas,Toor PLC,Steroid,438,124,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
177,Inventore,Srinivas-Mann,Steroid,275,108,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
178,Natus,Sekhon-Subramanian,Analgesic,67,281,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
179,Praesentium,Hegde-Thaman,Antacid,216,94,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
180,Quidem,Sodhi-Contractor,Vitamin,410,293,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
181,Itaque,"Mall, Saha and Chauhan",Vitamin,340,110,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
182,Perspiciatis,Dada-Soman,Steroid,35,253,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
183,Voluptates,Raval Group,Steroid,438,205,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
184,Aspernatur,Bhatia-Handa,Antidiabetic,125,180,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
185,Quae,"Mahal, Gade and Wali",Vitamin,144,11,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
186,Inventore,Andra-Ravi,Analgesic,67,273,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
187,Labore,Garde-Khatri,Antidiabetic,407,221,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
188,Dolores,Hegde Group,Antihypertensive,484,273,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
189,Iusto,Vohra-Palla,Antidiabetic,68,113,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
190,Eius,Sawhney-Thakur,Antacid,277,30,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
191,Exercitationem,"Rana, Nazareth and Choudhury",Antacid,298,245,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
192,Odio,Ganesan-Reddy,Antibiotic,247,118,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
193,Quis,Khare-Nadig,Antibiotic,68,101,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
194,Harum,Ghosh PLC,Vitamin,465,153,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
195,Laboriosam,"Rastogi, Kadakia and Rama",Antipyretic,350,258,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
196,Ea,"Mahajan, Wali and Natarajan",Steroid,318,260,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
197,Nobis,Thakur LLC,Antihypertensive,52,16,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
198,Debitis,Atwal-Dave,Antihypertensive,208,85,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
199,Id,Amble-Chaudhary,Steroid,128,83,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
200,Explicabo,Banerjee-Agarwal,Steroid,451,278,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
201,Officiis,Yadav PLC,Antacid,483,57,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
202,Nulla,"Kapadia, Pathak and Tella",Antibiotic,65,291,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
203,Sint,Seshadri-Sachdev,Analgesic,449,195,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
204,Molestiae,"Saraf, Palan and Soni",Vitamin,362,12,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
205,Rem,"Boase, Sabharwal and Dave",Analgesic,450,108,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
206,Aliquid,"Chopra, Hayer and Tailor",Antacid,441,154,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
207,Aliquid,Shah-Johal,Antidiabetic,401,248,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
208,Iste,Jayaraman-Parekh,Antidiabetic,409,248,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
209,Numquam,"Sahota, Andra and Krishnamurthy",Steroid,252,200,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
210,Cum,"Chopra, Raja and Ganguly",Antihypertensive,147,74,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
211,Consequatur,Jaggi Ltd,Antihypertensive,462,98,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
212,Reiciendis,Gandhi and Sons,Antacid,54,287,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
213,Doloribus,Desai and Sons,Antacid,340,220,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
214,Quas,Bath-Acharya,Analgesic,333,189,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
215,Vel,Kunda LLC,Vitamin,178,279,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
216,Distinctio,"Handa, Bawa and Mohanty",Steroid,172,300,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
217,Numquam,Aggarwal-Gala,Antipyretic,207,24,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
218,Minus,Pall-Pall,Antidiabetic,152,94,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
219,Odit,Venkatesh-Mitter,Analgesic,438,112,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
220,Eius,"Chaudry, Ravel and Edwin",Analgesic,296,238,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
221,Reprehenderit,Rastogi-Prabhakar,Antibiotic,211,220,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
222,Eius,"Kara, Agarwal and Hora",Vitamin,388,187,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
223,Alias,Buch Group,Steroid,270,137,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
224,Deserunt,De PLC,Analgesic,498,296,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
225,Corrupti,Ranganathan PLC,Antipyretic,215,274,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
226,Temporibus,"Mane, Hegde and Sagar",Antibiotic,360,47,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
227,Voluptate,Som-Anne,Analgesic,260,194,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
228,Magnam,Anand-Kalita,Steroid,186,80,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
229,Saepe,"Merchant, Chad and Garg",Antihypertensive,65,5,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
230,Voluptatibus,"Gera, Kohli and Badal",Antibiotic,226,235,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
231,Quasi,Varty-Sama,Steroid,229,265,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
232,Voluptas,Tata-Ramachandran,Antidiabetic,396,102,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
233,Odit,Buch-Anand,Antidiabetic,446,259,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
234,Eligendi,Deep-Sarraf,Antibiotic,392,183,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
235,Ducimus,Magar-Parmar,Antihypertensive,169,201,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
236,Quos,Kumar-Mohan,Steroid,353,80,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
237,Fugit,"Sem, Pillay and Desai",Antacid,192,93,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
238,Sint,Mangat Group,Steroid,63,147,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
239,Harum,"Om, Nayar and Bala",Antipyretic,457,207,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
240,Quo,"Pant, Koshy and Sastry",Analgesic,137,184,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
241,Iste,"Prabhakar, Baria and Cherian",Antidiabetic,116,218,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
242,Ducimus,Mangal Ltd,Antipyretic,267,300,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
243,Nam,"Hans, Menon and Majumdar",Antacid,199,259,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
244,Voluptates,"Pathak, Kapadia and Sarna",Antipyretic,88,210,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
245,Non,Seth-Kalla,Antacid,199,64,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
246,A,"Chada, Ahuja and Kala",Analgesic,337,149,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
247,Quisquam,"Warrior, Bhat and Maharaj",Antipyretic,19,223,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
248,Nostrum,Shetty LLC,Antihypertensive,483,140,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
249,Inventore,Tailor-Muni,Analgesic,391,145,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
250,Minus,Lala-Krishna,Antihypertensive,234,287,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
